0,99,349
0,399,349
0,700,347
0,1001,347
0,1302,345
0,1602,346
0,1902,345
0,2202,343
0,2503,316
0,2803,293
0,3105,330
0,3405,346
0,3705,352
0,4006,357
0,4306,360
0,4606,360
0,4906,360
0,5208,360
0,5508,360
0,5809,358
0,6109,359
0,6409,357
0,6710,358
0,7010,359
0,7311,357
0,7612,350
0,7912,298
0,8212,243
0,8513,289
0,8813,341
0,9113,352
0,9415,357
0,9715,358
0,10015,363
0,10316,361
0,10616,357
0,10916,357
0,11217,357
0,11518,355
118,11700,354
300,11581,356
300,11281,357
300,10981,360
300,10680,361
300,10380,358
300,10078,360
300,9778,358
300,9478,352
300,9177,341
300,8877,292
300,8577,228
300,8277,257
300,7975,339
300,7673,356
300,7373,359
300,7073,357
300,6773,357
300,6472,361
300,6172,360
300,5872,363
300,5570,361
300,5270,365
300,4969,359
300,4669,361
300,4369,361
300,4069,354
300,3768,348
300,3467,337
300,3166,287
300,2866,250
300,2566,334
300,2265,345
300,1965,345
300,1665,345
300,1363,346
300,1063,348
300,763,347
300,462,349
300,162,347
438,0,347
600,139,348
600,440,348
600,740,347
600,1041,347
600,1341,346
600,1641,347
600,1942,345
600,2242,341
600,2543,211
600,2844,144
600,3144,288
600,3444,343
600,3745,353
600,4045,358
600,4345,361
600,4647,361
600,4947,363
600,5247,362
600,5548,358
600,5848,356
600,6148,353
600,6449,355
600,6750,358
600,7052,358
600,7352,357
600,7652,352
600,7953,280
600,8253,226
600,8553,226
600,8854,296
600,9155,340
600,9455,352
600,9756,358
600,10056,361
600,10356,360
600,10657,358
600,10957,355
600,11259,358
600,11559,355
759,11700,353
900,11541,355
900,11240,355
900,10940,358
900,10640,359
900,10338,356
900,10038,360
900,9737,354
900,9437,350
900,9137,333
900,8837,298
900,8536,242
900,8235,277
900,7934,349
900,7634,358
900,7334,357
900,7033,354
900,6733,350
900,6433,351
900,6131,352
900,5831,354
900,5531,358
900,5230,364
900,4930,364
900,4630,365
900,4329,362
900,4028,356
900,3728,349
900,3427,339
900,3127,289
900,2827,295
900,2526,342
900,2226,345
900,1925,347
900,1624,348
900,1324,348
900,1024,347
900,723,349
900,423,347
900,123,345
1079,0,345
1200,180,347
1200,481,349
1200,781,349
1200,1081,350
1200,1382,349
1200,1682,349
1200,1982,346
1200,2284,345
1200,2584,339
1200,2884,342
1200,3185,347
1200,3485,349
1200,3785,358
1200,4086,363
1200,4387,362
1200,4688,367
1200,4988,364
1200,5288,359
1200,5588,354
1200,5889,350
1200,6189,348
1200,6491,343
1200,6791,349
